Wetland_Code,Aeshnidae,Amphipoda,Ancylidae,Baetidae,Belostomatidae,Bivalvia,Caenidae,Calanoida,Calopterygidae,Ceratopogonidae,Chaoboridae,Chironomidae,Chrysomelidae,Cladocera,Coenagrionidae,Coleoptera,Collembola,Conchostraca,Corduliidae,Corixidae,Culicidae,Curculionidae,Cyclopoida,Diptera,Dixidae,Dytiscidae,Elmidae,Empididae,Ephemeroptera,Ephydridae,Erpobdellidae,Gammaridae,Gastropoda,Gerridae,Glossiphoniidae,Gyrinidae,Haemopidae,Haliplidae,Harpacticoida,Hebridae,Hemiptera,Hyalellidae,Hydracarina,Hydraenidae,Hydridae,Hydrobiidae,Hydrophilidae,Hydropsychidae,Hydroptilidae,Isotomidae,Lepidostomatidae,Leptoceridae,Lestidae,Libellulidae,Libellulidae_Corduliidae,Limnephilidae,Lumbriculidae,Lymnaeidae,Mesoveliidae,Naididae,Nematoda,Nepidae,Noctuidae,Notonectidae,Odonata,Oligochaeta,Ostracoda,Phryganeidae,Physidae,Pisauridae,Planorbidae,Polycentropodidae,Porifera,Psychodidae,Pyralidae,Saldidae,Sciomyzidae,Scirtidae,Sialidae,Simuliidae,Siphlonuridae,Sminthuridae,Sphaeriidae,Stratiomyidae,Syrphidae,Tabanidae,Terrestrial,Tetragnathidae,Tipulidae,Trichoptera,Valvatidae,Veliidae
63N001,2.985074627,0,0,8.955223881,0,0,359.7014925,14.92537313,0,12.5459897,0,49.70566593,0,76.11940299,20.89552239,0,0,0,11.94029851,1.492537313,4.47761194,0,1.508462104,0,5.970149254,3.495217071,0,0,2.17071376,0,4.47761194,0,0,1.324503311,0,0,1.492537313,2.17071376,0,0,0,23.21559971,7.462686567,0,1.508462104,0,0,0,3.016924209,0,0,0,0,0,18.98454746,0,0,1.492537313,0,0,0,1.492537313,0,0,0,79.76453274,14.92537313,2.985074627,5.970149254,0,77.6119403,0,0,0,0,0,0,0,0,0,0,0,0.662251656,0,0,0,2.17071376,0,5.481972038,0,0,0
63N002,11.4379085,0,0,0,0,0,0,0,0,0.326797386,0,5.22875817,0,0.326797386,3.267973856,0,0,0,1.960784314,0,0,0,0,0,0.653594771,0.653594771,0,0,0,0,1.633986928,0,0,0,0,0,0,0.980392157,0,0,0,60.13071895,0.326797386,0,0,0,0,0,0,0,0,0,0,1.307189542,0,0,0,3.594771242,0.326797386,0,0,0,0,0,0,0,0,0,1.307189542,0,9.803921569,0,16.33986928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653594771,0,0,0
63N003,0,0,0,1.111111111,0,0,2.222222222,0,0,1.111111111,0,2.222222222,0,0,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,0,0,0
63N004,0,0,0,0,0,0,1.438848921,0,0,2.158273381,0,11.51079137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.158273381,0,0,0,0,0,0,6.474820144,0,0,0,0.71942446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63S001,0,0,3.539823009,0.884955752,0,0,33.62831858,0.884955752,0,0,0,18.5840708,0,0,16.81415929,0,0,0,0,1.769911504,0,0,0,0,0,0,0,0,0,0,3.539823009,0,0,0,0,0,0,1.769911504,0,0,0,83.18584071,4.424778761,0,0,0,0,0,0,0,0,0,0,0.884955752,7.96460177,0,0,0,0,0.884955752,0,0,0,0.884955752,0,0,0.884955752,0,0.884955752,0,0,0.884955752,0,0,0,0.884955752,0,0,0,0,0,0,1.769911504,0,0,0,0,0,0,0,0,0
63S002,2.040816327,1.020408163,0,0,0,0,2.150537634,2.150537634,0,1.075268817,0,48.97959184,0,10.20408163,2.150537634,0,0,0,0,3.225806452,0,0,0,0,1.020408163,0,0,0,7.142857143,0,0,0,0,0,0,0,0,1.020408163,0,0,0,1.075268817,9.183673469,0,0,0,0,0,0,0,0,2.040816327,0,0,0,0,0,1.020408163,2.040816327,2.150537634,0,0,0,1.075268817,0,0,51.02040816,0,1.020408163,0,8.602150538,0,1.020408163,0,0,0,1.020408163,0,0,0,0,0,1.075268817,0,0,0,0,0,0,0,1.020408163,0
ABW 4,0,0,0,0.395061728,0,0,0.790123457,0.395061728,0,3.555555556,0,38.56790123,0,0.395061728,0.790123457,0,0,0,0,0.37037037,0.12345679,0,0,0,0.395061728,0.12345679,0.12345679,0,0,0,0.12345679,0.493827161,0,0.24691358,0,0,0,0,0,0,0,4.12345679,2.888888889,0,0,0,0,0,0,0.913580247,0,0,0,0.12345679,0,0,0,0.12345679,0,0,0,0,0,0,0,14.61728395,3.950617284,0,0.24691358,0,1.827160494,0,0,0,0,0,0,0,0,0,0,0,0.790123457,0,0,0,0.12345679,0,0,0,0,0.12345679
ABW05,0.234192038,0,0,0,0,0,0,0,0,19.52106079,0,128.2165122,0.372728172,3.138173302,1.490912689,0,0,0,0,1.352376554,0.372728172,2.236369034,29.03981265,0,3.649437609,2.903981265,0,0,0,0,0,0,0,0,0.372728172,0,0,2.236369034,0,0,0,1.118184517,0,0,0.372728172,0,0,0,0,0,0,0,0,0,0,0,0,0.372728172,0,0,0,0,0.372728172,0,0,460.9723917,0,0,0,0,21.44605337,0,0,0,0,0,0,0,0,0,0,9.830128311,0,0,0,0.372728172,3.138173302,0.745456345,5.218194412,0,0,3.649437609
ABW07,0.11254924,0,0,0,0,0,0,1.398554906,0,2.200330108,0,15.46654825,0,1.398554906,0.216297237,0,0,0,0,0,0.432594473,0,0.139855491,0,0,0.216297237,8.791744958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139855491,0,0,2.097832359,0,0,0,0,0,0,0,0,0.05627462,0,0,0,0,0,0,0,0.488869094,0,0,40.06319926,1.398554906,0,0.865188947,0,0.279710981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281373101,0,0.356152727,0,0.356152727,0,0,0.139855491
AIR,0.772431855,0,0,0,0,0,33.17904758,1.035982475,0,0.352543803,0,12.31442999,0,1.035982475,3.613632065,0,0,0.084461199,0.389690892,0,0,0,0.844611994,0,0.084461199,0.19832041,0,0,0,0,0,0,0,0,0.099160205,0.099160205,0,0.19832041,0,0,0,12.28176381,0.084461199,0.099160205,0,0,0,0,0.168922399,0,0,0.168922399,0.645471935,0.942952551,0,0,0,6.319767948,0,1.014313041,0.28278161,0,0,0.588011302,0,1.542749671,0.275831681,0.253383598,1.083812327,0.290530687,0.737682212,0,0,0,0,0.337844797,0,0,0,0,0,0,0.694121436,0,0,0,0.084461199,0,0,0,0,0
